Age,year,sex,people
100,1996,M,1211
0,1997,M,44189481
5,1997,M,67004679
10,1997,M,59875176
15,1997,M,49763563
20,1997,M,59008065
25,1997,M,67306691
30,1997,M,59837726
35,1997,M,47022210
40,1997,M,45940138
45,1997,M,37936918
50,1997,M,26760740
55,1997,M,23462786
60,1997,M,20932408
65,1997,M,16265095
70,1997,M,10870420
75,1997,M,6711739
80,1997,M,3332229
85,1997,M,1023399
90,1997,M,196995
95,1997,M,27363
100,1997,M,1315
0,1998,M,45232654
5,1998,M,62584972
10,1998,M,63757211
15,1998,M,49853099
20,1998,M,55719280
25,1998,M,66594789
30,1998,M,62204835
35,1998,M,49038783
40,1998,M,44681958
45,1998,M,41037367
50,1998,M,27781691
55,1998,M,23429127
60,1998,M,21193757
65,1998,M,16718720
70,1998,M,11216535
75,1998,M,6702436
80,1998,M,3489701
85,1998,M,1095897
90,1998,M,219057
95,1998,M,33299
100,1998,M,1422
0,1999,M,46811134
5,1999,M,57094277
10,1999,M,66830446
15,1999,M,50879940
20,1999,M,52898312
25,1999,M,65304064
30,1999,M,64161934
35,1999,M,51362704
40,1999,M,43803735
45,1999,M,43530876
50,1999,M,29265036
55,1999,M,23592046
60,1999,M,21425164
65,1999,M,17195710
70,1999,M,11621321
75,1999,M,6747216
80,1999,M,3563957
85,1999,M,1145402
90,1999,M,228358
95,1999,M,33564
100,1999,M,1543
0,2000,M,47124480
5,2000,M,52529087
10,2000,M,67972329
15,2000,M,52908190
20,2000,M,50992051
25,2000,M,63568363
30,2000,M,65592255
35,2000,M,53845215
40,2000,M,43903890
45,2000,M,45058543
50,2000,M,31312992
55,2000,M,24071552
60,2000,M,21644604
65,2000,M,17699639
70,2000,M,12096530
75,2000,M,6892664
80,2000,M,3564130
85,2000,M,1168239
90,2000,M,216421
95,2000,M,24899
100,2000,M,1683
0,2001,M,48889934
5,2001,M,49365101
10,2001,M,66860425
15,2001,M,55634590
20,2001,M,49634510
25,2001,M,61063276
30,2001,M,66158852
35,2001,M,56217682
40,2001,M,44593435
45,2001,M,45430388
50,2001,M,33699313
55,2001,M,24643948
60,2001,M,21635241
65,2001,M,17971886
70,2001,M,12455752
75,2001,M,7134153
80,2001,M,3674183
85,2001,M,1320564
90,2001,M,267409
95,2001,M,30862
100,2001,M,1838
0,2002,M,48681088
5,2002,M,47477552
10,2002,M,63985790
15,2002,M,59559156
20,2002,M,49073661
