economy,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.3357185450209,100.865855188857,101.076759405526,107.973146280234,112.429364602262,86.1148570667578,79.2295601199241,78.5477450545048,71.8424518815414,70.5604791440404,72.2333302273367,69.8642663925336,73.9845018432309,80.0513676022426,73.0706339919371,70.1397385835334,61.0301379818566,56.9750470853147,54.5423279613666,57.2742357441995,64.642975973633,69.4355736620453,75.9616759606704,77.5550481598824,75.778866962639,71.6820743427575,76.0779674593548,87.202376539837,92.473107021212,96.1141541288708,69.4909967689768
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.9375,207.442748091603,202.357563850688,223.2,229.817444219067,218.146718146718,249.821428571429,161.333333333333,157.940663176265,157.543859649123,176.40625,173.824451410658,174.805598755832,162.407132243685,159.165424739195,161.437908496732,171.830985915493,156.327160493827,151.904090267983
ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.506619514592,217.957095999899,215.659605045359,202.265249230014,200.775982630178,195.143546269629,193.335073523014,173.368590892793,172.437884606487,163.90534966323,171.675453126149,181.156297945854,175.749456915279,170.266405177737,165.314787907856,165.809271759493,151.087444858872,152.845890201161,152.375619380001,151.528152451032,156.211303767191,156.154794504309,139.786704053953,136.872934273148,133.870867961469,135.064152858016,139.410164737487,91.5251421713841
AUS,27.0073432045263,27.3798008534851,26.5276294339198,26.7924920709198,28.6514210427254,28.4371631817202,28.0131228214066,26.7289582107122,26.7346729195906,25.2434594132552,26.1500948252506,25.5504098665148,24.7531196696292,25.1269290200879,26.3176201676218,28.9616566353803,26.8539285414443,28.621305956191,28.1681161626734,29.6146949633384,32.288680618474,31.5930713207795,30.3148643962778,29.1649294652234,28.530262062255,32.5006159361805,33.0289129083977,32.5265004087736,32.5783096881174,32.0767632318787,32.1633639749956,32.1968629660937,33.0490853500054,35.4004115096642,36.4587306962012,37.7296880581382,38.2571372362079,38.0086902277185,40.0197336467168,39.0852986838969,40.9941032639084,44.2823672643105,41.4966535597204,40.2315235947216,37.0393620532896,39.1968755847193,41.607273776186,42.0597729301644,42.8850215132316,45.7755373400991,40.5563768269451,41.8574537801732,43.177441852402,41.2760811583035,42.4729114392829,41.6256213779265,40.8177619704852,41.9397560640113,43.3822260663091,45.8450397384068,44.039526146645
AUT,,,,,,,,,,,54.8603907820123,54.380470810538,54.2960196144724,54.4568197404044,59.5677321118563,56.5991343539106,59.9162824894445,60.2775963946407,59.6679872436748,63.3172195649945,66.8250056155535,68.3965493602774,64.1171137058053,62.4721845225182,66.5750061022185,70.0831623102221,64.0145976599605,62.8537226292472,66.5625495918394,70.538359093152,71.4883694717106,70.0484055944094,67.6301676560879,63.2650507794238,65.9870933970696,68.25660110272,70.0836711206827,74.8676902155828,76.9271493915785,78.2601403439716,85.3604956179232,87.5366647639352,86.9481679996606,86.3873824162825,90.7923456929297,94.0338056833054,98.0883112053436,100.733254061926,102.073682731706,87.0622309742796,99.0197962369563,105.102788629725,105.152177427838,104.066414086373,103.503535251069,102.42731538918,100.982078278741,104.938844932748,107.88167678734,107.47822730482,99.9989428466519
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0832196452933,86.8637724550898,140.799983402834,133.490445859873,55.3493194555644,85.8937107507733,80.8497401741931,82.0789665326283,77.2278091030634,69.8259648751026,78.5485682796041,78.8151854917601,92.8181443298969,107.551948506262,121.507115894117,115.841884607706,105.262399846369,96.6418081486575,89.2428968637573,74.7440416836369,74.9859884610856,80.5080450059522,78.263069540422,74.6758447629851,69.4832251953347,72.6015079073189,90.0773187345677,90.4023156823216,91.6725765369825,85.8181454084561,72.1629330601583
BDI,25.8928574435131,27.5862079836929,29.5081958920413,21.8045114655597,26.1744966082609,22.8822529667839,23.7683401950761,22.6863662585732,23.662507797879,21.7532896713333,22.3097965544679,22.6074300410872,26.8094131157561,24.3489043362581,25.2873351845382,27.2774163190328,30.379360630475,34.8870291528506,31.9340935865245,36.8847861616734,32.1014455985716,31.1810462057784,37.1194209891435,33.7933398239583,35.056316693605,31.8135215539913,34.0388589004453,35.4835346628137,38.5439533047301,32.6893093927341,35.6481395516768,38.4225604772107,38.2261314127976,36.5429966027968,38.7535235814749,40.2046264145201,21.5737222729,24.2753792298716,27.4400299850075,23.5397452788757,22.5537244890286,20.9640456147222,21.6738294069666,27.3763120796107,31.5761181816532,35.1,42.4,38.7999987731993,47.1999995814015,35.8000035591914,39.5000053977394,43.0000028373483,43.6999890071038,46.6000131147541,41.7576921762705,32.5419541361693,31.7442237764751,34.3962372025288,39.2100430604203,41.857360239639,32.9012774740091
BEL,,,,,,,,,,,87.7273019754199,85.5840807687108,85.2144387292793,94.1440940214668,105.271077601296,91.5237486786852,96.8157584257173,95.6775227443742,92.3126039376739,101.572970541061,103.055447784319,110.221352145195,117.925349546572,120.395562511556,128.230735025444,123.876986090012,112.327024533852,109.919099925859,116.422946593266,124.936932679633,121.467851074465,118.59013771799,115.069287501636,109.012736996759,113.232300033612,116.378567821327,119.212775757383,125.68894005618,124.709122626318,125.169990540949,142.230135067034,139.576839834619,136.085149488081,132.715552833888,136.918405348432,144.529050669983,149.567509299511,152.468446875303,161.088447790447,135.406040531897,149.997673074386,161.493723664633,160.746030229324,157.850845041743,158.783215919076,154.192546509323,157.66502598438,165.32583634966,166.313174766656,163.719854015606,158.621396830636
BEN,18.2341998166072,14.1181216852278,13.4771276576628,15.447259020027,17.3805034251725,22.1732736350777,23.0426078397633,27.4380883208416,28.4112293667841,33.2017249500644,39.6379034467417,45.6184127164884,41.1845516067007,41.6121426133332,43.8114045020463,47.9412279615522,44.0197577086964,50.9596855186593,51.0704526504407,54.5381681535616,53.1386195994861,59.8893720979652,57.8573353739462,45.3420118908271,50.5113034919755,60.3012179781571,49.2914176982042,46.2181352147978,45.8868280290306,38.3003673589405,45.7201821451396,51.3447168355486,56.7407458048553,55.3817991336605,64.4004792535565,63.800140010475,56.5177914456367,58.7116296113966,59.5936252981433,54.3917891538957,47.3481515012844,48.2571706392197,43.7684225364311,41.6162305574334,39.9029743365096,39.0959311879142,39.7746987128551,49.1137841529705,47.7753592695169,44.7026290629806,51.4308599492924,47.2170288118403,50.7367367791134,59.2001918331875,65.2682749404551,56.7563131849476,58.9869283378276,61.4765969588474,61.7951944901323,63.68133231423,44.8332333768726
BFA,20.7013700595553,21.2188624397492,21.2379483918704,21.2485012803128,14.3172756393415,16.0292171246163,16.7002191862921,18.8558132843739,21.4921288241186,22.3496083648567,21.5970104218475,25.442556614231,27.688726861213,29.231336311371,32.7936788935997,37.4993707069501,35.2134956783333,38.4035337580082,35.2192484844596,37.5285780653351,40.213028682332,40.7115242526657,39.8197514428109,37.4582972460124,39.7187056640872,40.9475469828696,37.9617294229875,39.4399463300075,38.1296822765951,32.3947599439306,35.4226504401749,33.7962364263647,28.3740163771975,29.6250839534616,39.2292222386411,40.7474714183407,38.1802977691941,37.4164187803511,40.9397835752562,35.2548157814824,35.1229419704263,31.6581708148511,31.3125228527966,30.3682364077323,35.4809436017462,34.1721697681049,35.1065423554549,33.7797172895073,35.3853169801502,40.2959836735924,49.0732385398039,57.4972531038508,61.2386079818398,64.0358513024234,58.8235624937426,59.0891813101662,57.8931727994406,59.2687802020168,60.5956256236488,58.6641672388108,
